bill_id,version_type,url
HJRES137-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres137ih/xml/BILLS-115hjres137ih.xml
HJRES138-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres138ih/xml/BILLS-115hjres138ih.xml
HJRES139-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres139ih/xml/BILLS-115hjres139ih.xml
HJRES14-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres14ih/xml/BILLS-115hjres14ih.xml
HJRES140-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres140ih/xml/BILLS-115hjres140ih.xml
HJRES141-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres141ih/xml/BILLS-115hjres141ih.xml
HJRES142-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres142ih/xml/BILLS-115hjres142ih.xml
HJRES143-115,Enrolled Bill,https://www.govinfo.gov/content/pkg/BILLS-115hjres143enr/xml/BILLS-115hjres143enr.xml
HJRES143-115,Received in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres143rds/xml/BILLS-115hjres143rds.xml
HJRES143-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres143eh/xml/BILLS-115hjres143eh.xml
HJRES143-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres143ih/xml/BILLS-115hjres143ih.xml
HJRES144-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres144ih/xml/BILLS-115hjres144ih.xml
HJRES145-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres145ih/xml/BILLS-115hjres145ih.xml
HJRES146-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres146ih/xml/BILLS-115hjres146ih.xml
HJRES15-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres15ih/xml/BILLS-115hjres15ih.xml
HJRES16-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres16ih/xml/BILLS-115hjres16ih.xml
HJRES17-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres17ih/xml/BILLS-115hjres17ih.xml
HJRES18-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres18ih/xml/BILLS-115hjres18ih.xml
HJRES19-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres19ih/xml/BILLS-115hjres19ih.xml
HJRES2-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres2ih/xml/BILLS-115hjres2ih.xml
HJRES20-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres20ih/xml/BILLS-115hjres20ih.xml
HJRES21-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres21ih/xml/BILLS-115hjres21ih.xml
HJRES22-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres22ih/xml/BILLS-115hjres22ih.xml
HJRES23-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres23ih/xml/BILLS-115hjres23ih.xml
HJRES24-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres24ih/xml/BILLS-115hjres24ih.xml
HJRES25-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres25ih/xml/BILLS-115hjres25ih.xml
HJRES26-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres26ih/xml/BILLS-115hjres26ih.xml
HJRES27-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres27ih/xml/BILLS-115hjres27ih.xml
HJRES28-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres28ih/xml/BILLS-115hjres28ih.xml
HJRES29-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres29ih/xml/BILLS-115hjres29ih.xml
HJRES3-115,Referred in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres3rfs/xml/BILLS-115hjres3rfs.xml
HJRES3-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres3eh/xml/BILLS-115hjres3eh.xml
HJRES3-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres3ih/xml/BILLS-115hjres3ih.xml
HJRES30-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres30ih/xml/BILLS-115hjres30ih.xml
HJRES31-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres31ih/xml/BILLS-115hjres31ih.xml
HJRES32-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres32ih/xml/BILLS-115hjres32ih.xml
HJRES33-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres33ih/xml/BILLS-115hjres33ih.xml
HJRES34-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres34ih/xml/BILLS-115hjres34ih.xml
HJRES35-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres35ih/xml/BILLS-115hjres35ih.xml
HJRES36-115,Referred in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres36rfs/xml/BILLS-115hjres36rfs.xml
HJRES36-115,Received in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres36rds/xml/BILLS-115hjres36rds.xml
HJRES36-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres36eh/xml/BILLS-115hjres36eh.xml
HJRES36-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres36ih/xml/BILLS-115hjres36ih.xml
HJRES37-115,Enrolled Bill,https://www.govinfo.gov/content/pkg/BILLS-115hjres37enr/xml/BILLS-115hjres37enr.xml
HJRES37-115,Received in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres37rds/xml/BILLS-115hjres37rds.xml
HJRES37-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres37eh/xml/BILLS-115hjres37eh.xml
HJRES37-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres37ih/xml/BILLS-115hjres37ih.xml
HJRES38-115,Enrolled Bill,https://www.govinfo.gov/content/pkg/BILLS-115hjres38enr/xml/BILLS-115hjres38enr.xml
HJRES38-115,Received in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres38rds/xml/BILLS-115hjres38rds.xml
HJRES38-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres38eh/xml/BILLS-115hjres38eh.xml
HJRES38-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres38ih/xml/BILLS-115hjres38ih.xml
HJRES39-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres39ih/xml/BILLS-115hjres39ih.xml
HJRES4-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres4ih/xml/BILLS-115hjres4ih.xml
HJRES40-115,Enrolled Bill,https://www.govinfo.gov/content/pkg/BILLS-115hjres40enr/xml/BILLS-115hjres40enr.xml
HJRES40-115,Received in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres40rds/xml/BILLS-115hjres40rds.xml
HJRES40-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres40eh/xml/BILLS-115hjres40eh.xml
HJRES40-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres40ih/xml/BILLS-115hjres40ih.xml
HJRES41-115,Enrolled Bill,https://www.govinfo.gov/content/pkg/BILLS-115hjres41enr/xml/BILLS-115hjres41enr.xml
HJRES41-115,Received in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres41rds/xml/BILLS-115hjres41rds.xml
HJRES41-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres41eh/xml/BILLS-115hjres41eh.xml
HJRES41-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres41ih/xml/BILLS-115hjres41ih.xml
HJRES42-115,Enrolled Bill,https://www.govinfo.gov/content/pkg/BILLS-115hjres42enr/xml/BILLS-115hjres42enr.xml
HJRES42-115,Received in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres42rds/xml/BILLS-115hjres42rds.xml
HJRES42-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres42eh/xml/BILLS-115hjres42eh.xml
HJRES42-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres42ih/xml/BILLS-115hjres42ih.xml
HJRES43-115,Enrolled Bill,https://www.govinfo.gov/content/pkg/BILLS-115hjres43enr/xml/BILLS-115hjres43enr.xml
HJRES43-115,Received in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres43rds/xml/BILLS-115hjres43rds.xml
HJRES43-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres43eh/xml/BILLS-115hjres43eh.xml
HJRES43-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres43ih/xml/BILLS-115hjres43ih.xml
HJRES44-115,Enrolled Bill,https://www.govinfo.gov/content/pkg/BILLS-115hjres44enr/xml/BILLS-115hjres44enr.xml
HJRES44-115,Received in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres44rds/xml/BILLS-115hjres44rds.xml
HJRES44-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres44eh/xml/BILLS-115hjres44eh.xml
HJRES44-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres44ih/xml/BILLS-115hjres44ih.xml
HJRES45-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres45ih/xml/BILLS-115hjres45ih.xml
HJRES46-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres46ih/xml/BILLS-115hjres46ih.xml
HJRES47-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres47ih/xml/BILLS-115hjres47ih.xml
HJRES48-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres48ih/xml/BILLS-115hjres48ih.xml
HJRES49-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres49ih/xml/BILLS-115hjres49ih.xml
HJRES5-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres5ih/xml/BILLS-115hjres5ih.xml
HJRES50-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres50ih/xml/BILLS-115hjres50ih.xml
HJRES51-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres51ih/xml/BILLS-115hjres51ih.xml
HJRES52-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres52ih/xml/BILLS-115hjres52ih.xml
HJRES53-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres53ih/xml/BILLS-115hjres53ih.xml
HJRES54-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres54ih/xml/BILLS-115hjres54ih.xml
HJRES55-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres55ih/xml/BILLS-115hjres55ih.xml
HJRES56-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres56ih/xml/BILLS-115hjres56ih.xml
HJRES57-115,Enrolled Bill,https://www.govinfo.gov/content/pkg/BILLS-115hjres57enr/xml/BILLS-115hjres57enr.xml
HJRES57-115,Received in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres57rds/xml/BILLS-115hjres57rds.xml
HJRES57-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres57eh/xml/BILLS-115hjres57eh.xml
HJRES57-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres57ih/xml/BILLS-115hjres57ih.xml
HJRES58-115,Enrolled Bill,https://www.govinfo.gov/content/pkg/BILLS-115hjres58enr/xml/BILLS-115hjres58enr.xml
HJRES58-115,Received in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres58rds/xml/BILLS-115hjres58rds.xml
HJRES58-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres58eh/xml/BILLS-115hjres58eh.xml
HJRES58-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres58ih/xml/BILLS-115hjres58ih.xml
HJRES59-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres59ih/xml/BILLS-115hjres59ih.xml
