bioguide_id,crp_id,cand_name,cycle,state,party,chamber,first_elected,next_election,total,spent,cash_on_hand,debt
P000602,N00030744,"Pompeo, Mike",2012,KS,R,H,2010,2012,1915080.26,778470.79,1255376.64,0
D000615,N00030752,"Duncan, Jeff",2012,SC,R,H,2010,2012,698727.84,598246.51,132041.56,0
R000591,N00030768,"Roby, Martha",2012,AL,R,H,2010,2012,1035717.36,862502.48,186496.35,0
C001087,N00030770,"Crawford, Rick",2012,AR,R,H,2010,2012,1338445.93,1211036.11,155981.82,0
G000565,N00030771,"Gosar, Paul",2012,AZ,R,H,2010,2012,1150701.15,1126649.26,24791.4,31270.44
G000562,N00030780,"Gardner, Cory",2012,CO,R,H,2010,2012,2295599.73,1849386.33,465202.03,0
G000560,N00030788,"Graves, Tom",2012,GA,R,H,2010,2012,1179676.68,1126844.4,55946.8,0
G000570,N00030801,"Guinta, Frank",2012,NH,R,H,2010,2012,1903770.27,1847673.46,34444.63,313500
F000459,N00030815,"Fleischmann, Chuck",2012,TN,R,H,2010,2012,1412229.34,1398209.9,21214.64,226537.69
B001297,N00030829,"Buck, Ken",2012,,R, ,,2016,4961858.23,4889522.31,72336,0
P000603,N00030836,"Paul, Rand",2012,KY,R,S,2010,2016,8081125,7987506,93615,0
G000559,N00030856,"Garamendi, John",2012,CA,D,H,2009,2012,2065819.12,2064921.97,40280.08,62564.65
K000382,N00030875,"Kuster, Ann Mclane",2012,,D, ,,2012,3161003.98,3173921.36,6803.5,0
G000566,N00030880,"Gowdy, Trey",2012,SC,R,H,2010,2012,728767.38,533277.97,270956.68,0
B001274,N00030910,"Brooks, Mo",2012,AL,R,H,2010,2012,904753.18,455514.82,499658.59,0
R000585,N00030949,"Reed, Tom",2012,NY,R,H,2010,2012,2107794.45,2006454.26,115517.97,0
D000616,N00030957,"Desjarlais, Scott",2012,TN,R,H,2010,2012,1260459.29,1266553.7,9336.73,0
R000589,N00030962,"Rigell, Scott",2012,VA,R,H,2010,2012,2397768.28,2550870.2,4192.2,549500
D000614,N00030967,"Duffy, Sean P",2012,WI,R,H,2010,2012,2647209.9,2601113.23,105183.08,0
R000587,N00030968,"Ribble, Reid",2012,WI,R,H,2010,2012,2320569.03,2086968.35,166754.36,0
A000368,N00030980,"Ayotte, Kelly",2012,NH,R,S,2010,2016,6129686,5437693,691987,10191
H001053,N00031005,"Hartzler, Vicky",2012,MO,R,H,2010,2012,1510603.33,1404887.77,128069.38,0
N000186,N00031006,"Nunnelee, Alan",2012,MS,R,H,2010,2012,1467759.57,1432932.08,157091.34,0
O000169,N00031011,"Owens, Bill",2012,NY,D,H,2009,2012,1968478.15,1939276.12,15447.11,21656.58
D000613,N00031103,"Dold, Robert",2012,IL,R,H,2010,2012,4569085.11,4543048.98,107293.29,5389.61
H001059,N00031104,"Hultgren, Randy",2012,IL,R,H,2010,2012,1362709.72,1349326.39,55368.59,0
R000586,N00031127,"Renacci, Jim",2012,OH,R,H,2010,2012,3274194.03,3284373,39817.55,443297.62
