bioguide_id,crp_id,cand_name,cycle,state,party,chamber,first_elected,next_election,total,spent,cash_on_hand,debt
P000523,N00002260,"Price, David",2014,NC,D,H,1986,2014,839562.93,688800.84,216409.21,0
J000255,N00002299,"Jones, Walter B Jr",2014,NC,R,H,1994,2014,704722.91,677380.93,125475.06,0
M000485,N00002356,"McIntyre, Mike",2014,NC,D,H,1996,2014,744105.51,196901.33,633021.71,0
C000537,N00002408,"Clyburn, James E",2014,SC,D,H,1992,2014,2202607.49,2184698.37,1251219.13,7009.76
S000051,N00002424,"Sanford, Mark",2014,SC,R,H,2013,2014,1695976.34,1317224.85,504337.04,0
L000287,N00002577,"Lewis, John",2014,GA,D,H,1986,2014,723262.78,745565.52,184419.65,0
I000055,N00002593,"Isakson, Johnny",2014,GA,R,S,2004,2016,9422559,9294234,2423462,0
K000220,N00002656,"Kingston, Jack",2014,GA,R,H,1992,2014,8088438,8006033,82404,0
B000490,N00002674,"Bishop, Sanford",2014,GA,D,H,1992,2014,1226049.07,1050925.47,144316.29,0
C000286,N00002685,"Chambliss, Saxby",2014,GA,R,S,2002,2014,2457357,1319829,0,0
B000911,N00002713,"Brown, Corrine",2014,FL,D,H,1992,2014,598417.33,607417.71,-7842.63,19675.44
M000689,N00002793,"Mica, John L",2014,FL,R,H,1992,2014,851622.29,727555.78,270807.85,0
R000435,N00002858,"Ros-Lehtinen, Ileana",2014,FL,R,H,1989,2014,1004276.28,850120.46,1944750.85,0
H000324,N00002884,"Hastings, Alcee L",2014,FL,D,H,1992,2014,710345.7,811994.66,154456.95,0
F000462,N00002893,"Frankel, Lois J",2014,FL,D,H,2012,2014,1383775.21,1334369.48,72755.81,0
C001111,N00002942,"Crist, Charlie",2014,,3, ,,2016,13682636,13682634,0,0
A000055,N00003028,"Aderholt, Robert B",2014,AL,R,H,1996,2014,1175936.95,909880.91,418937.86,0
S001141,N00003062,"Sessions, Jeff",2014,AL,R,S,1996,2014,1712253,2013832,2824187,0
B001243,N00003105,"Blackburn, Marsha",2014,TN,R,H,2002,2014,2086901.07,1444428.87,1862627.81,7402.28
C000754,N00003132,"Cooper, Jim",2014,TN,D,H,2002,2014,762303.64,600091.39,855540.57,0
D000533,N00003209,"Duncan, John J Jr",2014,TN,R,H,1988,2014,509941.71,992996.8,1086528.87,0
C001068,N00003225,"Cohen, Steve",2014,TN,D,H,2006,2014,732896.77,915467.02,617836.95,0
C000567,N00003328,"Cochran, Thad",2014,MS,R,S,1978,2014,7388054,7868305,18590,519116
M000355,N00003389,"McConnell, Mitch",2014,KY,R,S,1984,2014,30845825,30435557,248241,378419
R000395,N00003473,"Rogers, Hal",2014,KY,R,H,1980,2014,1332880.26,1125831.74,1128970.92,0
K000009,N00003522,"Kaptur, Marcy",2014,OH,D,H,1982,2014,891853.46,652304.45,369244.52,0
B000944,N00003535,"Brown, Sherrod",2014,OH,D,S,2006,2018,25406082,24760231,1361422,0
B000589,N00003675,"Boehner, John",2014,OH,R,H,1990,2014,17446641.36,17106253.92,1293215.88,0
P000449,N00003682,"Portman, Rob",2014,OH,R,S,2010,2016,19137106,6914859,5808793,0
C000266,N00003689,"Chabot, Steve",2014,OH,R,H,2010,2014,938321.08,636368.81,640532.2,0
C000542,N00003845,"Coats, Dan",2014,IN,R,S,2010,2016,6250908,5256381,937475,0
L000263,N00003950,"Levin, Sander",2014,MI,D,H,1982,2014,1453214.21,1491686.94,199665.24,0
C000714,N00004029,"Conyers, John Jr",2014,MI,D,H,1964,2014,778668.26,833998.91,7992.02,6627
S000770,N00004118,"Stabenow, Debbie",2014,MI,D,S,2000,2018,14161784,13635325,1003252,4382
H000206,N00004207,"Harkin, Tom",2014,IA,D,S,1984,2014,2582782,2316287,0,0
L000111,N00004227,"Latham, Tom",2014,IA,R,H,1994,2014,1005830.86,251892.33,871499.08,21645.65
S000244,N00004291,"Sensenbrenner, F James Jr",2014,WI,R,H,1978,2014,438376.54,326996.44,393925.71,0
R000570,N00004357,"Ryan, Paul",2014,WI,R,H,1998,2014,9358582.14,8041589.53,2680320.86,6050.29
B001230,N00004367,"Baldwin, Tammy",2014,WI,D,S,2012,2018,16007428.69,16468262.55,244089,0
K000188,N00004403,"Kind, Ron",2014,WI,D,H,1996,2014,2161647,1162176.49,1464243.19,0
P000265,N00004426,"Petri, Tom",2014,WI,R,H,1979,2014,382724.53,309872.13,992596.52,0
K000363,N00004436,"Kline, John",2014,MN,R,H,2002,2014,2776557.7,3226366.88,115781.15,0
P000258,N00004558,"Peterson, Collin",2014,MN,D,H,1990,2014,1585615.69,1569350.49,50681.82,0
C001096,N00004614,"Cramer, Kevin",2014,ND,R,H,2012,2014,1492880.34,1505728.11,20897.96,2804
B000243,N00004643,"Baucus, Max",2014,MT,D, ,1978,2014,5672399,3122738,4866650,0
R000580,N00004719,"Roskam, Peter",2014,IL,R,H,2006,2014,3494076.2,4079869.91,457445.62,239.98
S001145,N00004724,"Schakowsky, Jan",2014,IL,D,H,1998,2014,1334600.16,1327080.7,280530.98,0
G000535,N00004874,"Gutierrez, Luis V",2014,IL,D,H,1992,2014,262850.48,408968.09,191563.87,0
D000096,N00004884,"Davis, Danny K",2014,IL,D,H,1996,2014,517868.54,469170.22,255301.9,59083.71
R000515,N00004887,"Rush, Bobby L",2014,IL,D,H,1992,2014,349071,344604.21,28905.08,25589.43
S000364,N00004961,"Shimkus, John M",2014,IL,R,H,1996,2014,1982069.02,1816163.09,1026835.91,0
D000563,N00004981,"Durbin, Dick",2014,IL,D,S,1996,2014,10320048.35,12614224,741450,0
B000575,N00005195,"Blunt, Roy",2014,MO,R,S,2010,2016,16022045,14144518,2213935,0
M000934,N00005282,"Moran, Jerry",2014,KS,R,S,2010,2016,6392794,7555520,1380214,67712
R000307,N00005285,"Roberts, Pat",2014,KS,R,S,1996,2014,8040544.41,8113419.41,64529,245983
A000373,N00005293,"Ashford, Brad",2014,,D, ,,2014,1231958.11,1216468.32,15489.79,0
L000550,N00005395,"Landrieu, Mary L",2014,LA,D,S,1996,2014,20015536,19969352,62629,0
L000491,N00005559,"Lucas, Frank D",2014,OK,R,H,1994,2014,1382057.92,1253709.07,287017.55,0
I000024,N00005582,"Inhofe, James M",2014,OK,R,S,1994,2014,4841285,5152276,120506,0
C000560,N00005601,"Coburn, Tom",2014,OK,R,S,2004,2014,2104355,2858825,84590,0
H000067,N00005645,"Hall, Ralph",2014,TX,R,H,1980,2014,1086181.46,1000566.53,134581.99,298790.44
B000213,N00005656,"Barton, Joe",2014,TX,R,H,1984,2014,1172496,1659548.78,418874.13,0
S000250,N00005681,"Sessions, Pete",2014,TX,R,H,1996,2014,2567778.88,3015805.12,670676.43,0
B001291,N00005736,"Babin, Brian",2014,,R, ,,2014,1110763.92,964204.8,146559.12,67000
J000032,N00005818,"Jackson Lee, Sheila",2014,TX,D,H,1994,2014,436661,384140.12,212815.22,0
G000410,N00005870,"Green, Gene",2014,TX,D,H,1992,2014,1001293.94,687925.69,1183124.25,200
B000755,N00005883,"Brady, Kevin",2014,TX,R,H,1996,2014,2525941.55,2184911.66,658287.42,0
S000937,N00005918,"Stockman, Steve",2014,TX,R,H,2012,2014,250032.74,221684.98,32027.41,163010
H000636,N00006008,"Hinojosa, Ruben",2014,TX,D,H,1996,2014,496824.74,466828.16,206681.05,0
D000399,N00006023,"Doggett, Lloyd",2014,TX,D,H,1994,2014,1062141.28,630989.94,3041610.89,0
D000197,N00006134,"DeGette, Diana",2014,CO,D,H,1996,2014,1026745.17,1068909.37,20157.16,0
B001261,N00006236,"Barrasso, John A",2014,WY,R,S,2007,2018,5379607,3371583,2612557,0
E000285,N00006249,"Enzi, Mike",2014,WY,R,S,1996,2014,3772045,3486953,866881,0
S001148,N00006263,"Simpson, Mike",2014,ID,R,H,1998,2014,2466247.46,2462427.92,70310.12,0
C000880,N00006267,"Crapo, Mike",2014,ID,R,S,1998,2016,5285184,3443712,3500640,-250000
P000099,N00006397,"Pastor, Ed",2014,AZ,D,H,1991,2014,285659.03,244310.13,1355738.39,0
K000352,N00006406,"Kyl, Jon",2014,,R, ,,2018,758407,576803,512807,0
F000448,N00006423,"Franks, Trent",2014,AZ,R,H,2002,2014,424680.15,369180.65,6049.44,255586.4
M000303,N00006424,"McCain, John",2014,AZ,R,S,1986,2016,21581038,21626242,2019177,0
S000018,N00006446,"Salmon, Matt",2014,AZ,R,H,2012,2014,934783.86,574358.68,447437.8,0
R000486,N00006671,"Roybal-Allard, Lucille",2014,CA,D,H,1992,2014,493129.12,498231.05,29056.25,0
B000711,N00006692,"Boxer, Barbara",2014,CA,D,S,1992,2016,13906925.9,7392291.11,154934,0
N000179,N00006789,"Napolitano, Grace",2014,CA,D,H,1998,2014,347168.21,304898.12,251685.24,0
H001063,N00006806,"Hahn, Janice",2014,CA,D,H,2011,2014,733850.98,723717.91,48052.03,0
M001177,N00006863,"McClintock, Tom",2014,CA,R,H,2008,2014,1593895.75,1750512.01,217098.69,1895
M000508,N00006882,"McKeon, Buck",2014,CA,R,H,1992,2014,417465.4,310340.79,623749.89,0
S000344,N00006897,"Sherman, Brad",2014,CA,D,H,1996,2014,1431583.49,842753.62,237122.36,100350
M001139,N00006954,"Miller, Gary",2014,CA,R,H,1998,2014,829309.41,344637.94,910450.05,0
I000056,N00007017,"Issa, Darrell",2014,CA,R,H,2000,2014,3750000.87,1749467.11,3750024.17,5710.38
C000059,N00007099,"Calvert, Ken",2014,CA,R,H,1992,2014,1192965.24,1206750.52,405559,9748.4
R000409,N00007151,"Rohrabacher, Dana",2014,CA,R,H,1988,2014,801570.59,795322.8,196906.47,0
C001036,N00007232,"Capps, Lois",2014,CA,D,H,1998,2014,2282305.02,2493169.87,143565.7,0
N000181,N00007248,"Nunes, Devin",2014,CA,R,H,2002,2014,2065646.13,1456623.98,2086973.26,0
F000030,N00007312,"Farr, Sam",2014,CA,D,H,1993,2014,782583.56,747789.34,108712.7,0
E000215,N00007335,"Eshoo, Anna",2014,CA,D,H,1992,2014,1509756.37,1540092.76,343222.07,4803.56
P000197,N00007360,"Pelosi, Nancy",2014,CA,D,H,1987,2014,2926898.74,2395066.14,981159.93,0
F000062,N00007364,"Feinstein, Dianne",2014,CA,D,S,1992,2018,11887918,12075940,2297760,0
M000725,N00007390,"Miller, George",2014,CA,D,H,1974,2014,379076.17,238531.11,349073.46,929.79
L000397,N00007479,"Lofgren, Zoe",2014,CA,D,H,1994,2014,1157846.24,682507.16,1051303.33,0
F000010,N00007632,"Faleomavaega, Eni F H",2014,AS,D,D,1988,2014,59833.2,69932.71,102.89,0
R000600,N00007635,"Amata, Aumua",2014,,R, ,,2014,25185.21,25095.9,0.8,0
B000574,N00007727,"Blumenauer, Earl",2014,OR,D,H,1996,2014,1199958.13,1177555.29,655048.08,0
D000191,N00007781,"DeFazio, Peter",2014,OR,D,H,1986,2014,1247942.6,1277585,96397.57,0
S000510,N00007833,"Smith, Adam",2014,WA,D,H,1996,2014,1091661.32,795120.49,579496.88,0
C000127,N00007836,"Cantwell, Maria",2014,WA,D,S,2000,2018,12684881,11862983.25,778056,2171350
M001111,N00007876,"Murray, Patty",2014,WA,D,S,1992,2016,16694426,17374452,1914038,0
J000174,N00008028,"Johnson, Sam",2014,TX,R,H,1991,2014,970541.76,1261811.69,505717.03,0
L000551,N00008046,"Lee, Barbara",2014,CA,D,H,1998,2014,1139240.19,1100730.18,83690.6,0
C000071,N00008086,"Camp, Dave",2014,MI,R,H,1990,2014,2077147.45,1314651.93,3415584.9,35608.98
B000013,N00008091,"Bachus, Spencer",2014,AL,R,H,1992,2014,288753.29,341673.97,207541.61,0
J000126,N00008122,"Johnson, Eddie Bernice",2014,TX,D,H,1992,2014,560055.56,546099.31,82028.7,0
R000487,N00008264,"Royce, Ed",2014,CA,R,H,1992,2014,3192506.95,1743860.38,2014545.98,28039.27
S000030,N00008274,"Sanchez, Loretta",2014,CA,D,H,1996,2014,1455237.07,1284391.54,391730.05,0
G000377,N00008799,"Granger, Kay",2014,TX,R,H,1996,2014,1315138.63,1317818.11,116463.44,6798.67
G000289,N00009154,"Goodlatte, Bob",2014,VA,R,H,1992,2014,2019678.41,1554911.4,978502.01,0
H000329,N00009157,"Hastings, Doc",2014,WA,R,H,1994,2014,519599.73,400376.09,409383.22,45100
F000444,N00009573,"Flake, Jeff",2014,AZ,R,S,2012,2018,9504266,10021124,109605,0
S001150,N00009585,"Schiff, Adam",2014,CA,D,H,2000,2014,916759.17,870294.85,2105794.56,361.36
D000598,N00009604,"Davis, Susan A",2014,CA,D,H,2000,2014,610238.34,541154.93,241803.5,0
S001176,N00009660,"Scalise, Steve",2014,LA,R,H,2008,2014,2617334.23,2735431.16,482793.91,0
R000572,N00009668,"Rogers, Mike",2014,MI,R,H,2000,2014,1044273.46,1020537.19,1308115.54,0
L000559,N00009724,"Langevin, Jim",2014,RI,D,H,2000,2014,1122854.59,811117.49,461855.22,38244.37
C001048,N00009738,"Culberson, John",2014,TX,R,H,2000,2014,719440.11,691303.71,60532.51,0
M001142,N00009753,"Matheson, Jim",2014,UT,D,H,2000,2014,823906.13,162329.71,678418.01,0
L000560,N00009759,"Larsen, Rick",2014,WA,D,H,2000,2014,1070865.76,1112277.5,302610.39,0
C001047,N00009771,"Capito, Shelley Moore",2014,WV,R,H,2000,2014,7858642,8779918,682236,0
B000287,N00009774,"Becerra, Xavier",2014,CA,D,H,1992,2014,1852781.72,1465622.65,1288938.52,0
M001150,N00009795,"Miller, Candice S",2014,MI,R,H,2002,2014,850673.97,795742.33,830900.24,0
S000522,N00009816,"Smith, Chris",2014,NJ,R,H,1980,2014,486140.67,459641.25,208995.79,0
M000404,N00009829,"McDermott, Jim",2014,WA,D,H,1988,2014,591924.55,581722.86,38800.62,0
H000338,N00009869,"Hatch, Orrin G",2014,UT,R,S,1976,2018,11510331,12605019,802708,0
A000360,N00009888,"Alexander, Lamar",2014,TN,R,S,2002,2014,8201067,9378379,282489,0
L000174,N00009918,"Leahy, Patrick",2014,VT,D,S,1974,2016,4583423,4934186,1276173,0
S000320,N00009920,"Shelby, Richard C",2014,AL,R,S,1986,2016,6734614,2060158,18055430,0
R000146,N00009922,"Reid, Harry",2014,NV,D,S,1986,2016,23812691,25572021,1457274,0
N000032,N00009926,"Nelson, Bill",2014,FL,D,S,2000,2018,16172400,16718976,926585,0
G000359,N00009975,"Graham, Lindsey",2014,SC,R,S,2002,2014,11056889,11464087,2394990,0
J000177,N00010084,"Johnson, Tim",2014,SD,D,S,1996,2014,1622563,956372,0,0
L000566,N00012233,"Latta, Robert E",2014,OH,R,H,2007,2014,1217262.88,777771.48,492878.98,0
C001049,N00012460,"Clay, William L Jr",2014,MO,D,H,2000,2014,583583.88,384886.95,317053.11,0
C000174,N00012508,"Carper, Tom",2014,DE,D,S,2000,2018,4929191,5251073,378033,0
K000360,N00012539,"Kirk, Mark",2014,IL,R,S,2010,2016,17966561.91,16040285.64,2006145,0
M001189,N00012546,"Messer, Luke",2014,IN,R,H,2012,2014,1253376.37,841608.07,461480.82,0
H001034,N00012611,"Honda, Mike",2014,CA,D,H,2000,2014,3390694.29,3447979.27,20937.4,57701.57
P000588,N00012672,"Pearce, Steve",2014,NM,R,H,2010,2014,2070663.45,2282213.08,387752.44,0
C001045,N00012739,"Crenshaw, Ander ",2014,FL,R,H,2000,2014,1287441.93,1642950.8,13674.07,0
M001143,N00012942,"McCollum, Betty",2014,MN,D,H,2000,2014,863235.1,740086.05,171162.96,0
C001046,N00013131,"Cantor, Eric",2014,VA,R,H,2000,2014,6165586.89,5794610.63,1451223.71,325064.98
G000546,N00013323,"Graves, Sam",2014,MO,R,H,2000,2014,1263609.57,1124266.27,394483.22,5522.41
I000057,N00013345,"Israel, Steve",2014,NY,D,H,2000,2014,3812938.09,3481422.61,667539.08,0
S001154,N00013770,"Shuster, Bill",2014,PA,R,H,2001,2014,4054875.87,3924437.09,415297.62,0
F000445,N00013799,"Forbes, Randy",2014,VA,R,H,2001,2014,1432349.78,1082779.62,539432.71,0
P000597,N00013817,"Pingree, Chellie",2014,ME,D,H,2008,2014,435540.05,381502.1,215458.53,20000
P000590,N00013823,"Pryor, Mark",2014,AR,D,S,2002,2014,12528098,14578504,135479,0
M001144,N00013846,"Miller, Jeff",2014,FL,R,H,2001,2014,650125.89,543973.79,172100.7,3676.7
L000562,N00013855,"Lynch, Stephen F",2014,MA,D,H,2001,2014,2542069,2542068,0,0
B001236,N00013873,"Boozman, John",2014,AR,R,S,2010,2016,4421143,4174867,267602,0
N000127,N00021207,"Nolan, Rick",2014,MN,D,H,2012,2014,2098794.61,2113281.4,26663.37,0
C001077,N00024753,"Coffman, Mike",2014,CO,R,H,2008,2014,4723052.43,4708362.01,22523.2,0
R000575,N00024759,"Rogers, Mike D",2014,AL,R,H,2002,2014,1102097.22,936331.5,457814.01,0
G000550,N00024760,"Gingrey, Phil",2014,GA,R,H,2002,2014,1988843,3860309,468,0
M001149,N00024770,"Michaud, Mike",2014,ME,D,H,2002,2014,171579.79,179043.27,73174.44,0
C001069,N00024842,"Courtney, Joe",2014,CT,D,H,2006,2014,1396008.17,1127169.97,575221.37,0
C001056,N00024852,"Cornyn, John",2014,TX,R,S,2002,2014,17223563,14672004,2911783,0
B001245,N00024866,"Bordallo, Madeleine Z",2014,GU,D,D,2002,2014,138108.7,210984.2,20832.59,0
S001156,N00024870,"Sanchez, Linda",2014,CA,D,H,2002,2014,1350030.93,1027338.66,438707.03,0
S001157,N00024871,"Scott, David",2014,GA,D,H,2002,2014,1015512.72,1146654.33,52858.09,46070
H001036,N00024922,"Hensarling, Jeb",2014,TX,R,H,2002,2014,3121515.43,3408251.99,1597051.87,0
C001063,N00024978,"Cuellar, Henry",2014,TX,D,H,2004,2014,1509460.41,937077.56,1317752.49,0
M001151,N00024992,"Murphy, Tim",2014,PA,R,H,2002,2014,1854010.24,1156372.43,818920.89,0
G000549,N00025025,"Gerlach, Jim",2014,PA,R,H,2002,2014,801345.33,337745.68,717608.95,0
C001051,N00025095,"Carter, John",2014,TX,R,H,2002,2014,996110.34,862690.1,598079.44,0
B001248,N00025219,"Burgess, Michael",2014,TX,R,H,2002,2014,1178543.53,1068922.72,205055.67,0
K000362,N00025237,"King, Steven A",2014,IA,R,H,2002,2014,2000377.86,1983500.69,136070.31,0
R000577,N00025280,"Ryan, Tim",2014,OH,D,H,2002,2014,1048541.65,787870.24,386122.52,0
G000551,N00025284,"Grijalva, Raul M",2014,AZ,D,H,2002,2014,589088.71,560866.42,36088.02,4015.59
B001250,N00025292,"Bishop, Rob",2014,UT,R,H,2002,2014,559345.61,525674.89,45781.01,47859.2
B001244,N00025330,"Bonner, Jo",2014,AL,R, ,2002,2014,85681.86,207065.54,35825.54,0
D000600,N00025337,"Diaz-Balart, Mario",2014,FL,R,H,2002,2014,942031.32,605137.24,635365.25,0
B001242,N00025413,"Bishop, Timothy H",2014,NY,D,H,2002,2014,3034996.76,2988327.66,53638.57,0
K000392,N00025445,"Kustoff, David",2014,,R, ,,2014,0,0,2552.76,311000
A000361,N00025464,"Alexander, Rodney",2014,LA,R, ,2002,2014,238486.49,260481.26,222650.29,0
R000576,N00025482,"Ruppersberger, Dutch",2014,MD,D,H,2002,2014,1085269.72,893338.66,1082895.55,0
B001269,N00025495,"Barletta, Lou",2014,PA,R,H,2010,2014,1265318.35,1101031.17,87434.2,141420
C001053,N00025726,"Cole, Tom",2014,OK,R,H,2002,2014,1338212.4,1147516.86,983325.71,0
H001050,N00025881,"Hanabusa, Colleen",2014,HI,D,H,2010,2014,3107196,3127179,34911,200400
C001062,N00026041,"Conaway, Mike",2014,TX,R,H,2004,2014,2010703.4,1559656.96,1057107.42,0
N000182,N00026043,"Neugebauer, Randy",2014,TX,R,H,2003,2014,1668262.82,1883937.92,675659.9,4319.86
M001153,N00026050,"Murkowski, Lisa",2014,AK,R,S,2002,2016,5811798,5270169,903629,0
B001252,N00026080,"Barrow, John",2014,GA,D,H,2004,2014,3550177.63,3536271.13,80854.08,0
G000552,N00026148,"Gohmert, Louis B Jr",2014,TX,R,H,2004,2014,767285.07,690899.32,173122.02,0
P000591,N00026160,"Price, Tom",2014,GA,R,H,2004,2014,2403022.09,1724934.57,2256395.28,0
F000450,N00026166,"Foxx, Virginia",2014,NC,R,H,2004,2014,1274173.07,693139.16,2036303.33,0
D000604,N00026171,"Dent, Charlie",2014,PA,R,H,2004,2014,1762781.84,1059972.56,937815.58,0
M001159,N00026314,"McMorris Rodgers, Cathy",2014,WA,R,H,2004,2014,2698350,2910112,182754,18996
C001059,N00026341,"Costa, Jim",2014,CA,D,H,2004,2014,1524075.67,1116677.4,618007.51,12762.82
K000389,N00026427,"Khanna, Ro",2014,,D, ,,2014,3412568.09,4427100.78,1669.38,120525.94
P000592,N00026457,"Poe, Ted",2014,TX,R,H,2004,2014,924138.66,507175.73,1849561.53,0
M001157,N00026460,"McCaul, Michael",2014,TX,R,H,2004,2014,1633177.55,1599939.21,61663.44,175510.79
D000607,N00026586,"Donnelly, Joe",2014,IN,D,S,2012,2018,6797423.36,6343628.08,464904,0
B001255,N00026595,"Boustany, Charles W Jr",2014,LA,R,H,2004,2014,2295050.86,2118901.05,366517.88,0
M001156,N00026627,"McHenry, Patrick",2014,NC,R,H,2004,2014,1736285.66,1021565.33,840207.84,0
F000449,N00026631,"Fortenberry, Jeff",2014,NE,R,H,2004,2014,784737.23,396337.36,1159346.64,0
G000553,N00026686,"Green, Al",2014,TX,D,H,2004,2014,530714.3,483696.29,222490.7,61398.34
M001158,N00026710,"Marchant, Kenny",2014,TX,R,H,2004,2014,804262.61,431771.68,877891.2,0
C001061,N00026790,"Cleaver, Emanuel",2014,MO,D,H,2004,2014,986750.65,1015923.41,73434.15,0
K000393,N00026823,"Kennedy, John Neely",2014,,R, ,,2014,74045,108527,0,0
R000578,N00026885,"Reichert, Dave",2014,WA,R,H,2004,2014,1301442.34,991616.85,397050.94,0
M001160,N00026914,"Moore, Gwen",2014,WI,D,H,2004,2014,1031481.1,1045919.25,13673.49,0
M001166,N00026926,"McNerney, Jerry",2014,CA,D,H,2006,2014,1224433.6,1109114.54,147013.31,2954.15
C001067,N00026961,"Clarke, Yvette D",2014,NY,D,H,2006,2014,624079.03,534975.7,118938.41,77748.62
B001251,N00027035,"Butterfield, G K",2014,NC,D,H,2004,2014,852624.56,703902.48,387090.38,0
H001038,N00027060,"Higgins, Brian M",2014,NY,D,H,2004,2014,851431.87,663042.11,620920.27,0
F000451,N00027229,"Fitzpatrick, Michael G",2014,PA,R,H,2010,2014,3052527.79,2089893.08,1076717.91,0
L000563,N00027239,"Lipinski, Daniel",2014,IL,D,H,2004,2014,874348.64,618212.09,1047669.95,0
C001071,N00027441,"Corker, Bob",2014,TN,R,S,2006,2018,12590156,6697259,5677125,0
M001163,N00027459,"Matsui, Doris O",2014,CA,D,H,2005,2014,1063565.6,982391.48,275234.01,1400
B001257,N00027462,"Bilirakis, Gus",2014,FL,R,H,2006,2014,1081571.71,700433.62,429105.83,0
B001259,N00027464,"Braley, Bruce",2014,IA,D,H,2006,2014,12082748,12068095,14653,93577
B001256,N00027493,"Bachmann, Michele",2014,MN,R,H,2006,2014,678665.51,892330.3,1856904.16,0
K000367,N00027500,"Klobuchar, Amy",2014,MN,D,S,2006,2018,10070791,9051205,1492028,0
C001070,N00027503,"Casey, Bob",2014,PA,D,S,2006,2018,14681759,14574930,357016,0
P000593,N00027510,"Perlmutter, Edwin G",2014,CO,D,H,2006,2014,2046461.76,1891891.94,181776.86,0
C001066,N00027514,"Castor, Kathy",2014,FL,D,H,2006,2014,681991.62,472947.57,754873.84,0
H001041,N00027522,"Heller, Dean",2014,NV,R,S,2011,2018,10296690,9974265,322428,120000
S001165,N00027523,"Sires, Albio",2014,NJ,D,H,2006,2014,659464.8,581949.99,237536.69,0
C001064,N00027565,"Campbell, John",2014,CA,R,H,2005,2014,245629.79,442894.68,384029.38,0
M001169,N00027566,"Murphy, Christopher S",2014,CT,D,S,2012,2018,11197394,11091606,105791,0
S001172,N00027623,"Smith, Adrian",2014,NE,R,H,2006,2014,1034587.4,877939.64,784439.23,0
B001260,N00027626,"Buchanan, Vernon",2014,FL,R,H,2006,2014,1698712.19,851628.17,724712.57,0
H001057,N00027649,"Huelskamp, Tim",2014,KS,R,H,2010,2014,845472.15,878253.29,486348.91,5375.72
G000555,N00027658,"Gillibrand, Kirsten",2014,NY,D,S,2009,2018,30322285,28865366,1659439,0
M001170,N00027694,"McCaskill, Claire",2014,MO,D,S,2006,2018,21055467,20886900,134554,0
L000565,N00027741,"Loebsack, David",2014,IA,D,H,2006,2014,1733368.07,1721735.53,33469.28,0
S001168,N00027751,"Sarbanes, John",2014,MD,D,H,2006,2014,775892.37,756851.31,747939.17,0
J000288,N00027848,"Johnson, Hank",2014,GA,D,H,2006,2014,638258.47,640573.24,15327.54,17211.2
D000622,N00027860,"Duckworth, Tammy",2014,IL,D,H,2012,2014,3241320.92,2289837.46,1052287.32,0
M001171,N00027891,"Maffei, Dan",2014,NY,D,H,2012,2014,2710660.58,2749173.47,21338.63,1589.75
J000289,N00027894,"Jordan, Jim",2014,OH,R,H,2006,2014,937570.14,1016222.54,1003238.06,0
S001170,N00028091,"Shea-Porter, Carol",2014,NH,D,H,2012,2014,1708116.36,1713764.56,19296.33,0
L000564,N00028133,"Lamborn, Douglas L",2014,CO,R,H,2006,2014,490021.76,474480.8,66644.81,0
H001042,N00028139,"Hirono, Mazie K",2014,HI,D,S,2012,2018,6152466,6152118.57,207753,125000
M001165,N00028152,"McCarthy, Kevin",2014,CA,R,H,2006,2014,5943825.95,5920014.48,1854633.07,10000
E000290,N00028249,"Edwards, Donna",2014,MD,D,H,2008,2014,573482.9,564094.49,30322.59,10020
E000288,N00028257,"Ellison, Keith",2014,MN,D,H,2006,2014,2090932.14,1984754.12,162747.78,0
G000556,N00028418,"Grayson, Alan",2014,FL,D,H,2012,2014,3105575.83,3102601.42,45332.6,2329414.25
R000582,N00028463,"Roe, Phil",2014,TN,R,H,2008,2014,522428.21,426805.01,380305.49,0
C001076,N00028958,"Chaffetz, Jason",2014,UT,R,H,2008,2014,967465.27,775880.88,309377.68,0
B001262,N00028986,"Broun, Paul",2014,GA,R,H,2007,2014,1941759,2085876,11452,0
F000457,N00029016,"Franken, Al",2014,MN,D,S,2008,2014,30770855.86,31908221.86,297921,0
R000583,N00029018,"Rooney, Tom",2014,FL,R,H,2008,2014,596061.38,669303.6,363528.25,0
H001047,N00029070,"Himes, Jim",2014,CT,D,H,2008,2014,2654776.14,2101453,1045413.29,0
J000290,N00029077,"Jenkins, Lynn",2014,KS,R,H,2008,2014,2633523.81,3122371.57,308719.18,0
P000598,N00029127,"Polis, Jared",2014,CO,D,H,2008,2014,1193195.63,1207969,10603.18,10066.78
F000454,N00029139,"Foster, Bill",2014,IL,D,H,2012,2014,2871395.85,1812623.24,1067770.54,1223334.88
H001052,N00029147,"Harris, Andy",2014,MD,R,H,2010,2014,1296624.88,1169105.97,297598.73,0
P000596,N00029168,"Pierluisi, Pedro",2014,PR,D,D,2008,2016,575147.33,578773.45,563.03,0
H001048,N00029258,"Hunter, Duncan D",2014,CA,R,H,2008,2014,1269096.3,841310.21,452572.69,0
K000368,N00029260,"Kirkpatrick, Ann",2014,AZ,D,H,2012,2014,3403185.88,3323324.56,87619.18,0
P000595,N00029277,"Peters, Gary",2014,MI,D,H,2008,2014,10024419,10289555.46,221602,30294
O000168,N00029285,"Olson, Pete",2014,TX,R,H,2008,2014,1482852.56,1259370,330544.29,0
M001176,N00029303,"Merkley, Jeff",2014,OR,D,S,2008,2014,12018377,11147553,631906,0
P000594,N00029391,"Paulsen, Erik",2014,MN,R,H,2008,2014,3196225.86,2695111.36,1194960.88,0
