bioguide_id,crp_id,name,data_year,net_low,net_high,positions_held,asset_count,asset_low,asset_high,transaction_count,tx_low,tx_high
C001098,N00033085,,2016,2965074,9171994,,44,4195074,9752000,8,64008,260000
C001091,N00033316,,2016,-112998,-30001,,2,2002,30000,0,0,0
C001095,N00033363,,2016,168027,753000,,28,168027,753000,0,0,0
C001097,N00033373,,2016,0,0,,0,0,0,0,0,0
B001286,N00033390,,2016,513029,1520000,,28,513029,1520000,0,0,0
B001278,N00033474,"Bonamici, Suzanne",2016,3122033,6680000,,33,3122033,6680000,0,0,0
B001284,N00033495,,2016,4889038,26344997,,35,5539038,26660000,0,0,0
C001093,N00033518,,2016,502013,1255000,,13,502013,1255000,0,0,0
B001283,N00033532,,2016,-419997,84998,,3,130003,350000,0,0,0
B001280,N00033625,,2016,,,,0,0,0,0,0,0
A000372,N00033720,,2016,10843027,60769997,,27,12593027,61620000,0,0,0
B001294,N00033744,,2016,0,0,,0,0,0,0,0,0
B001281,N00033904,,2016,3543029,16520000,,27,3543029,16520000,0,0,0
B001279,N00033981,"Barber, Ron",2016,,,,0,0,0,0,0,0
A000371,N00033997,,2016,-963992,-310002,,4,36008,190000,0,0,0
C001090,N00034128,,2016,2387035,9832999,,22,3387035,10333000,0,0,0
C001094,N00034224,,2016,0,0,,0,0,0,0,0,0
B001285,N00034254,,2016,234042,2887997,,32,1434042,3488000,45,239045,767000
B001288,N00035267,,2016,650004,1350000,,3,650004,1350000,0,0,0
C001101,N00035278,,2016,0,0,,0,0,0,0,0,0
B001296,N00035307,,2016,0,0,,0,0,0,0,0,0
C001103,N00035346,,2016,13351059,57491000,,58,13351059,57491000,0,0,0
B001289,N00035380,,2016,388022,976000,,17,388022,976000,37,32011,137000
C001107,N00035403,,2016,652104,3170998,,97,952104,3286000,145,146145,555000
B001295,N00035420,,2016,-36991,494999,,9,213009,595000,0,0,0
A000370,N00035451,,2016,265002,550000,,2,265002,550000,0,0,0
C001102,N00035854,,2016,0,0,,0,0,0,0,0,0
B001290,N00036013,,2016,0,0,,0,0,0,0,0,0
B001292,N00036018,,2016,18857049,227874986,,47,48207049,235005000,0,0,0
C001105,N00036023,,2016,456046,2115999,,46,706046,2216000,0,0,0
B001293,N00036449,,2016,0,0,,0,0,0,0,0,0
A000374,N00036633,,2016,4676051,19714999,,30,4926051,19815000,0,0,0
B001304,N00036999,,2016,-418996,-35001,,4,81004,215000,0,0,0
B001300,N00037019,,2016,-45986,4755997,,14,1054014,5286000,0,0,0
B001298,N00037049,,2016,366013,974999,,11,416013,990000,0,0,0
B001299,N00037185,,2016,223037,924000,,21,223037,924000,0,0,0
C001108,N00038260,,2016,1770022,8299998,,22,2770022,8800000,7,15007,56000
A000375,N00038285,,2016,117017,1454998,,16,617017,1655000,0,0,0
B001303,N00038414,,2016,4551083,10575999,,64,4601083,10591000,0,0,0
B001302,N00039293,,2016,968009,10380996,,9,2518009,11096000,0,0,0
B001301,N00039533,,2016,,,,0,0,0,0,0,0
B001305,N00039551,,2016,,,,0,0,0,0,0,0
B001306,N00042194,,2016,,,,0,0,0,0,0,0
C001099,N99999896,,2016,,,,0,0,0,0,0,0
C001100,N99999999,,2016,,,,0,0,0,0,0,0
