bill_id,chamber,term,session,action,roll_number,url
HR1033-113,House,113,1,Final Passage Under Suspension of the Rules Results,91,http://clerk.house.gov/evs/2013/roll091.xml
HR1035-113,House,113,1,Final Passage Under Suspension of the Rules Results,63,http://clerk.house.gov/evs/2013/roll063.xml
HR1038-113,House,113,1,Final Passage Under Suspension of the Rules Results,219,http://clerk.house.gov/evs/2013/roll219.xml
HR1062-113,House,113,1,Passage of a Measure,160,http://clerk.house.gov/evs/2013/roll160.xml
HR1062-113,House,113,1,Motion to Commit/Recommit With Instructions Results,159,http://clerk.house.gov/evs/2013/roll159.xml
HR1067-113,House,113,1,Final Passage Under Suspension of the Rules Results,118,http://clerk.house.gov/evs/2013/roll118.xml
HR1068-113,House,113,1,Final Passage Under Suspension of the Rules Results,119,http://clerk.house.gov/evs/2013/roll119.xml
HR1073-113,House,113,1,Final Passage Under Suspension of the Rules Results,162,http://clerk.house.gov/evs/2013/roll162.xml
HR1092-113,House,113,1,Final Passage Under Suspension of the Rules Results,288,http://clerk.house.gov/evs/2013/roll288.xml
HR1105-113,House,113,1,Passage of a Measure,622,http://clerk.house.gov/evs/2013/roll622.xml
HR1105-113,House,113,1,Motion to Commit/Recommit With Instructions Results,621,http://clerk.house.gov/evs/2013/roll621.xml
HR1120-113,House,113,1,Passage of a Measure,101,http://clerk.house.gov/evs/2013/roll101.xml
HR1120-113,House,113,1,Motion to Commit/Recommit With Instructions Results,100,http://clerk.house.gov/evs/2013/roll100.xml
HR1123-113,House,113,2,Final Passage Under Suspension of the Rules Results,64,http://clerk.house.gov/evs/2014/roll064.xml
HR1151-113,House,113,1,Final Passage Under Suspension of the Rules Results,250,http://clerk.house.gov/evs/2013/roll250.xml
HR1155-113,House,113,1,Final Passage Under Suspension of the Rules Results,450,http://clerk.house.gov/evs/2013/roll450.xml
HR1157-113,House,113,1,Final Passage Under Suspension of the Rules Results,213,http://clerk.house.gov/evs/2013/roll213.xml
HR1162-113,House,113,1,Final Passage Under Suspension of the Rules Results,103,http://clerk.house.gov/evs/2013/roll103.xml
HR1163-113,House,113,1,Final Passage Under Suspension of the Rules Results,106,http://clerk.house.gov/evs/2013/roll106.xml
HR1171-113,House,113,1,Final Passage Under Suspension of the Rules Results,307,http://clerk.house.gov/evs/2013/roll307.xml
HR1204-113,House,113,2,Vote on House Agreeing to the Senate Action,560,http://clerk.house.gov/evs/2014/roll560.xml
HR1204-113,House,113,1,Final Passage Under Suspension of the Rules Results,617,http://clerk.house.gov/evs/2013/roll617.xml
HR1206-113,House,113,1,Final Passage Under Suspension of the Rules Results,184,http://clerk.house.gov/evs/2013/roll184.xml
HR1211-113,House,113,2,Final Passage Under Suspension of the Rules Results,63,http://clerk.house.gov/evs/2014/roll063.xml
HR1228-113,House,113,2,Final Passage Under Suspension of the Rules Results,144,http://clerk.house.gov/evs/2014/roll144.xml
HR1233-113,House,113,2,Final Passage Under Suspension of the Rules Results,18,http://clerk.house.gov/evs/2014/roll018.xml
HR1256-113,House,113,1,Passage of a Measure,218,http://clerk.house.gov/evs/2013/roll218.xml
HR1256-113,House,113,1,Motion to Commit/Recommit With Instructions Results,217,http://clerk.house.gov/evs/2013/roll217.xml
HR1341-113,House,113,1,Final Passage Under Suspension of the Rules Results,305,http://clerk.house.gov/evs/2013/roll305.xml
HR1344-113,House,113,1,Final Passage Under Suspension of the Rules Results,166,http://clerk.house.gov/evs/2013/roll166.xml
HR1402-113,House,113,1,Final Passage Under Suspension of the Rules Results,631,http://clerk.house.gov/evs/2013/roll631.xml
HR1406-113,House,113,1,Passage of a Measure,137,http://clerk.house.gov/evs/2013/roll137.xml
HR1406-113,House,113,1,Motion to Commit/Recommit With Instructions Results,136,http://clerk.house.gov/evs/2013/roll136.xml
HR1412-113,House,113,1,Vote on House Agreeing to the Senate Action,491,http://clerk.house.gov/evs/2013/roll491.xml
HR1412-113,House,113,1,Final Passage Under Suspension of the Rules Results,164,http://clerk.house.gov/evs/2013/roll164.xml
HR1422-113,House,113,2,Passage of a Measure,525,http://clerk.house.gov/evs/2014/roll525.xml
HR1422-113,House,113,2,Motion to Commit/Recommit With Instructions Results,524,http://clerk.house.gov/evs/2014/roll524.xml
HR1459-113,House,113,2,Passage of a Measure,147,http://clerk.house.gov/evs/2014/roll147.xml
HR1459-113,House,113,2,Motion to Commit/Recommit With Instructions Results,146,http://clerk.house.gov/evs/2014/roll146.xml
HR1513-113,House,113,2,Final Passage Under Suspension of the Rules Results,12,http://clerk.house.gov/evs/2014/roll012.xml
